id,median_house_value
0,48600.0
1,53500.0
2,67500.0
3,91200.0
4,88400.0
5,72700.0
6,79200.0
7,62200.0
8,143000.0
9,80800.0
10,53600.0
11,107200.0
12,140300.0
13,50000.0
14,54300.0
15,51300.0
16,81300.0
17,66800.0
18,67500.0
19,32900.0
20,83700.0
21,137500.0
22,98000.0
23,353100.0
24,74400.0
25,168800.0
26,177800.0
27,66600.0
28,51300.0
29,66000.0
30,130400.0
31,110900.0
32,183900.0
33,235600.0
34,345500.0
35,161100.0
36,81700.0
37,143400.0
38,217400.0
39,221000.0
40,100000.0
41,274600.0
42,167800.0
43,147800.0
44,58000.0
45,91100.0
46,187200.0
47,128100.0
48,226500.0
49,171500.0
50,72600.0
51,189700.0
52,71800.0
53,139500.0
54,174400.0
55,316400.0
56,300300.0
57,145000.0
58,155700.0
59,211900.0
60,153500.0
61,159200.0
62,116300.0
63,109500.0
64,91200.0
65,129400.0
66,168700.0
67,88500.0
68,81900.0
69,83000.0
70,124100.0
71,76900.0
72,111400.0
73,89800.0
74,73200.0
75,146400.0
76,189700.0
77,157100.0
78,215300.0
79,143300.0
80,150100.0
81,140800.0
82,241400.0
83,123500.0
84,189600.0
85,178100.0
86,132200.0
87,293900.0
88,221600.0
89,141400.0
90,174400.0
91,187300.0
92,120600.0
93,306800.0
94,144000.0
95,115000.0
96,303900.0
97,247800.0
98,132100.0
99,67500.0
100,211100.0
101,178600.0
102,133900.0
103,117000.0
104,165100.0
105,192300.0
106,234700.0
107,391300.0
108,331800.0
109,161800.0
110,129200.0
111,116900.0
112,157700.0
113,160200.0
114,107600.0
115,156500.0
116,115000.0
117,112500.0
118,180400.0
119,477600.0
120,181000.0
121,218800.0
122,184000.0
123,167600.0
124,138100.0
125,142200.0
126,154900.0
127,145500.0
128,156900.0
129,128400.0
130,113700.0
131,114300.0
132,178300.0
133,222800.0
134,155400.0
135,140300.0
136,111300.0
137,150400.0
138,151900.0
139,88300.0
140,87500.0
141,129900.0
142,264000.0
143,288200.0
144,174100.0
145,171200.0
146,169700.0
147,216500.0
148,105000.0
149,102500.0
150,142700.0
151,112800.0
152,85800.0
153,179500.0
154,103400.0
155,102900.0
156,88900.0
157,161200.0
158,222400.0
159,73500.0
160,126300.0
161,123100.0
162,98700.0
163,86300.0
164,125000.0
165,131500.0
166,116100.0
167,78100.0
168,131600.0
169,174100.0
170,240200.0
171,195500.0
172,191100.0
173,166500.0
174,174100.0
175,130600.0
176,112500.0
177,199100.0
178,78900.0
179,162000.0
180,199800.0
181,129200.0
182,178100.0
183,137500.0
184,139400.0
185,174200.0
186,168300.0
187,146300.0
188,92200.0
189,135200.0
190,215300.0
191,147500.0
192,177800.0
193,243800.0
194,147800.0
195,90800.0
196,94100.0
197,157600.0
198,112500.0
199,422200.0
200,334600.0
201,75300.0
202,179500.0
203,198500.0
204,158900.0
205,67500.0
206,320800.0
207,97700.0
208,102700.0
209,143000.0
210,187500.0
211,207000.0
212,166300.0
213,482700.0
214,92500.0
215,173200.0
216,173400.0
217,110100.0
218,98600.0
219,192200.0
220,196900.0
221,90900.0
222,197700.0
223,150900.0
224,168000.0
225,258900.0
226,467600.0
227,110200.0
228,130900.0
229,117200.0
230,198800.0
231,210400.0
232,200400.0
233,183900.0
234,303100.0
